TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
46698,2024-06-06 08:19:35.728666,4686.35,91,purchase,San Antonio,0
4668,2024-03-29 23:28:35.492715,1964.26,882,purchase,Philadelphia,0
81449,2024-06-12 21:23:35.944366,1872.29,976,refund,Philadelphia,0
9223,2023-11-27 10:01:35.512290,2710.62,849,refund,Philadelphia,0
83612,2023-11-24 03:44:35.952485,3628.42,24,purchase,San Diego,0
43120,2024-10-13 19:05:35.706343,1678.0,205,refund,Chicago,0
88107,2023-11-03 10:54:35.969265,3872.75,731,purchase,Phoenix,0
91413,2023-12-20 21:39:35.990691,3434.86,959,purchase,San Antonio,0
86634,2024-07-12 16:07:35.963615,800.93,614,purchase,Philadelphia,0
44376,2024-07-08 18:10:35.714127,4964.1,580,refund,San Jose,0
88161,2024-07-28 06:55:35.969445,1364.57,768,refund,New York,0
21775,2024-06-07 00:45:35.565593,3951.02,266,refund,San Jose,0
96695,2023-12-04 16:51:36.013355,262.19,673,refund,Los Angeles,0
39679,2024-08-20 02:58:35.686486,4498.99,971,refund,Houston,0
1211,2024-03-25 03:42:35.468641,1482.32,773,purchase,Chicago,0
95163,2024-08-04 14:51:36.006914,2273.78,20,refund,Houston,0
43913,2023-10-31 23:08:35.711450,3804.87,515,refund,New York,0
50083,2024-03-07 05:05:35.750521,3747.23,94,refund,San Jose,0
97054,2024-05-04 03:53:36.014970,2815.05,871,purchase,Dallas,0
44967,2024-07-12 13:33:35.717987,667.27,187,refund,Chicago,0
4163,2024-08-08 17:43:35.490454,726.43,927,purchase,Los Angeles,0
65021,2024-03-14 01:21:35.850470,4606.36,548,purchase,Dallas,0
63091,2024-04-20 00:32:35.842879,160.02,385,purchase,San Antonio,0
53107,2024-02-29 20:16:35.786238,584.3,127,refund,San Jose,0
34602,2023-10-24 18:31:35.644400,3622.12,627,refund,San Diego,0
61490,2024-07-04 12:27:35.836447,4195.37,331,purchase,New York,0
51496,2024-10-10 02:59:35.759522,1899.25,42,purchase,Philadelphia,0
51388,2024-08-13 04:30:35.758812,2632.57,331,refund,Houston,0
66179,2024-07-11 02:00:35.856183,402.58,504,refund,Los Angeles,0
89120,2024-01-20 02:31:35.973416,4383.41,251,refund,Phoenix,0
52095,2024-09-11 03:05:35.763521,4893.34,111,refund,Phoenix,0
21555,2024-04-22 12:38:35.564836,3770.14,666,purchase,San Jose,0
77411,2024-06-17 11:01:35.925834,4867.28,303,purchase,Phoenix,0
63314,2024-04-09 08:51:35.843680,1142.97,343,refund,Houston,0
92402,2024-03-11 07:42:35.995081,1227.88,97,purchase,Houston,0
41977,2024-08-12 14:34:35.699210,1654.79,611,refund,Chicago,0
30129,2024-02-10 01:51:35.609946,1343.56,976,purchase,Houston,1
3207,2024-07-01 08:30:35.486134,3117.21,440,purchase,San Antonio,1
54050,2024-10-17 12:09:35.792446,1604.5,806,refund,Los Angeles,0
83137,2024-06-26 12:36:35.950536,4104.14,476,refund,San Jose,0
96195,2024-04-29 13:08:36.011267,1585.41,466,purchase,New York,0
29359,2024-09-24 22:22:35.606906,1120.85,2,purchase,San Jose,0
44798,2024-08-08 14:46:35.716878,2589.02,579,purchase,Los Angeles,0
79239,2024-10-20 05:36:35.935219,561.39,690,purchase,Los Angeles,0
35848,2024-01-09 21:01:35.654046,2645.34,801,purchase,San Antonio,0
25096,2023-12-18 21:14:35.588616,1608.39,789,purchase,San Diego,1
76689,2024-07-10 04:30:35.922061,2328.44,211,purchase,New York,0
85010,2024-09-21 11:32:35.957548,1947.23,144,purchase,Chicago,0
30014,2024-09-27 04:25:35.609493,4769.1,431,purchase,Phoenix,0
48618,2024-07-15 10:25:35.740932,2952.72,101,purchase,San Jose,0
47143,2024-05-15 07:01:35.731656,1481.63,795,purchase,Los Angeles,1
77260,2024-03-25 15:42:35.925034,4419.29,234,refund,Chicago,0
76312,2024-06-07 07:38:35.920522,4804.77,799,refund,New York,0
88095,2024-10-06 17:03:35.969209,4513.89,571,refund,San Diego,0
58161,2024-03-07 16:18:35.821111,4154.93,148,refund,New York,0
36216,2024-07-30 18:34:35.656483,1742.05,701,purchase,San Diego,0
46876,2023-12-03 07:21:35.729867,2857.46,333,refund,Philadelphia,0
15699,2024-09-01 14:23:35.539785,1081.05,586,refund,Philadelphia,0
11069,2023-10-29 16:56:35.520183,919.63,583,refund,Phoenix,0
99018,2024-10-09 11:37:36.023383,4730.64,19,refund,Phoenix,0
73945,2023-12-04 14:44:35.909134,3642.01,772,purchase,Los Angeles,0
48095,2024-05-31 17:29:35.737795,1978.11,375,refund,San Antonio,0
81408,2024-07-01 16:14:35.944229,2256.77,401,refund,San Antonio,0
93362,2024-07-27 00:51:35.999181,4596.17,172,refund,San Jose,0
90885,2023-12-13 13:48:35.988674,2869.36,416,refund,Philadelphia,0
43710,2024-03-14 15:36:35.710128,3677.11,143,purchase,Philadelphia,0
6390,2024-02-28 04:35:35.500332,2574.41,615,purchase,San Antonio,0
19581,2024-02-07 07:58:35.557025,4112.06,379,purchase,Houston,0
33767,2024-04-22 02:51:35.632218,3446.58,280,refund,Los Angeles,0
79345,2024-01-28 05:16:35.935734,2949.44,846,purchase,Phoenix,0
83498,2024-01-25 16:08:35.952057,3977.07,802,refund,Philadelphia,0
66193,2023-10-23 06:29:35.856262,1401.26,887,refund,Houston,0
29945,2024-04-27 09:04:35.609257,4948.63,554,purchase,San Antonio,0
12966,2024-01-10 07:30:35.528107,3780.63,236,purchase,Los Angeles,0
67470,2024-08-11 18:20:35.861697,3818.23,960,purchase,Philadelphia,1
59279,2024-10-06 16:46:35.825114,1441.95,848,refund,San Diego,0
64060,2024-05-27 05:46:35.846709,4460.87,859,purchase,San Antonio,0
97566,2024-02-13 13:49:36.017165,4560.8,129,purchase,Chicago,0
17566,2023-12-10 19:19:35.548044,2114.09,921,purchase,Houston,0
58692,2023-12-02 04:42:35.823150,4256.0,563,refund,Houston,0
38676,2024-07-22 17:36:35.672484,4571.7,964,purchase,Philadelphia,0
59902,2023-12-06 02:27:35.827913,3744.31,163,refund,Chicago,0
81744,2024-02-11 05:23:35.945381,2318.2,655,purchase,Dallas,0
78725,2023-12-13 18:15:35.932344,718.15,597,refund,Phoenix,0
49989,2024-09-29 19:25:35.749999,3084.49,44,purchase,Dallas,0
46176,2024-08-24 01:56:35.725427,4830.94,851,purchase,San Jose,0
57309,2023-11-10 10:05:35.814243,3607.54,535,purchase,Dallas,0
17676,2024-08-15 21:24:35.548450,1400.89,308,purchase,San Jose,0
87353,2024-10-17 08:56:35.966273,877.68,245,refund,New York,1
72659,2024-10-07 23:33:35.902455,3978.02,710,purchase,Chicago,0
70717,2023-12-24 09:50:35.891558,186.1,203,refund,Chicago,0
56628,2024-10-11 10:24:35.809766,3334.73,13,purchase,Phoenix,0
7534,2024-05-12 05:02:35.505324,347.38,341,refund,San Diego,0
4863,2024-08-23 22:43:35.493619,3743.91,606,refund,Philadelphia,0
25224,2024-03-16 09:59:35.589182,4765.06,527,refund,San Antonio,0
66250,2024-04-10 20:14:35.856534,3902.62,956,purchase,San Jose,0
43045,2024-10-03 15:58:35.705868,4966.51,951,purchase,Dallas,0
55804,2023-12-08 03:35:35.804411,3647.52,705,refund,San Jose,0
61828,2023-11-28 12:12:35.837925,3663.08,306,purchase,New York,0
61574,2024-05-20 07:06:35.836953,1557.93,991,refund,Los Angeles,0
62652,2024-05-05 01:21:35.840724,2452.54,986,refund,New York,0
2315,2023-11-14 01:51:35.473544,2195.25,948,refund,New York,0
5128,2024-09-23 11:33:35.494739,1509.95,580,refund,Phoenix,0
31500,2023-11-08 14:44:35.617731,2643.06,470,purchase,Philadelphia,1
97067,2024-08-17 20:59:36.015030,4800.22,844,purchase,San Diego,0
38504,2024-08-09 08:42:35.671338,2719.86,315,refund,San Diego,0
7754,2024-01-21 12:03:35.506216,112.19,988,refund,San Jose,0
19105,2023-11-20 16:05:35.554802,683.95,764,refund,Houston,0
69762,2024-08-04 22:26:35.886534,4173.37,205,purchase,Los Angeles,0
23914,2024-03-31 17:04:35.583785,3726.81,160,refund,Phoenix,0
79446,2024-07-04 17:06:35.936143,4135.4,563,purchase,Philadelphia,0
84164,2024-05-23 00:58:35.954487,4902.38,749,refund,San Diego,0
1441,2024-06-12 03:22:35.470153,4732.44,911,refund,San Jose,0
94070,2024-04-01 19:55:36.002180,1528.63,640,refund,San Jose,0
23279,2024-06-08 04:01:35.573083,1956.89,484,refund,San Diego,0
641,2024-08-31 04:16:35.465954,2281.9,461,refund,Houston,0
68944,2024-01-12 04:18:35.872062,2217.16,89,refund,Chicago,0
34975,2024-10-05 01:05:35.646904,1109.56,507,refund,Phoenix,0
39330,2024-05-24 16:47:35.684631,2896.53,711,purchase,San Jose,0
61682,2024-02-20 23:44:35.837386,2301.97,572,purchase,Phoenix,0
82308,2024-05-04 11:28:35.947361,464.99,940,refund,San Diego,0
30788,2024-07-29 20:53:35.612335,2172.2,989,purchase,San Jose,0
38095,2024-06-14 23:58:35.668586,1984.4,673,purchase,San Antonio,0
42102,2023-11-07 04:08:35.699924,981.19,110,refund,San Diego,0
32723,2024-10-19 00:37:35.625405,1038.03,275,refund,Dallas,0
15841,2024-03-20 20:47:35.540378,2147.47,181,purchase,San Jose,0
20781,2024-07-22 07:26:35.561711,3664.31,737,refund,San Diego,1
16835,2023-11-04 07:04:35.544891,2747.35,748,refund,Houston,0
10678,2023-10-22 10:36:35.518597,16.82,232,purchase,Phoenix,0
35335,2023-12-02 17:20:35.649279,3054.73,347,refund,San Diego,0
96321,2024-07-22 04:22:36.011804,2578.29,729,purchase,Los Angeles,0
52808,2023-11-01 12:24:35.769942,1450.36,33,purchase,Phoenix,1
56352,2024-08-11 15:39:35.807924,2033.37,383,refund,Dallas,1
60667,2024-07-01 04:05:35.831241,177.99,695,refund,San Antonio,0
85306,2024-05-17 18:22:35.958795,1941.2,422,purchase,San Diego,0
23586,2024-07-06 18:12:35.582240,3975.94,778,refund,Los Angeles,0
19661,2023-12-25 17:39:35.557387,1711.36,633,refund,New York,0
90013,2024-08-14 05:23:35.985556,319.84,751,purchase,Philadelphia,1
60728,2024-07-15 12:18:35.831634,1250.38,592,purchase,Los Angeles,0
40367,2024-09-11 03:49:35.690284,4258.39,783,purchase,Los Angeles,0
92553,2024-10-16 10:55:35.995729,4937.49,481,refund,Chicago,0
52893,2024-01-21 15:14:35.770272,3881.22,431,purchase,Dallas,0
77612,2024-04-13 03:53:35.926709,2211.65,720,refund,San Diego,0
84706,2024-04-18 16:13:35.956466,266.0,645,purchase,Houston,0
20368,2024-02-17 10:51:35.560233,3201.53,220,refund,Philadelphia,0
82801,2023-11-21 02:52:35.949198,1537.57,268,purchase,Phoenix,0
17497,2023-12-10 00:14:35.547804,2722.79,841,refund,Philadelphia,0
65373,2024-08-22 19:12:35.852050,1124.91,713,refund,Dallas,0
63945,2023-11-30 00:04:35.846323,830.95,298,refund,Phoenix,0
16913,2024-02-09 06:07:35.545200,4008.74,523,purchase,New York,0
19829,2023-12-07 04:50:35.558225,2631.28,816,purchase,San Diego,0
47713,2024-08-15 07:25:35.735456,891.55,268,purchase,Dallas,0
5806,2024-07-30 12:50:35.497579,387.53,605,purchase,Los Angeles,0
75763,2024-06-21 20:54:35.918205,4123.88,407,refund,Houston,0
68348,2024-03-03 21:04:35.868177,2183.66,112,purchase,Dallas,0
38491,2024-07-15 02:20:35.671239,1070.24,361,refund,New York,0
93369,2024-05-07 23:10:35.999222,4214.5,783,refund,Dallas,0
30527,2024-10-12 17:12:35.611334,4155.59,543,refund,Phoenix,1
47270,2023-11-10 11:35:35.732497,4943.68,622,refund,Phoenix,0
84832,2024-03-09 10:16:35.956924,1600.07,145,refund,Houston,1
45562,2023-12-10 11:33:35.721418,3473.5,599,purchase,Houston,0
81532,2024-05-13 17:45:35.944661,1244.1,638,refund,San Diego,0
3532,2023-11-13 12:12:35.487591,4142.69,597,refund,Phoenix,1
33038,2024-02-08 05:16:35.627382,318.45,723,purchase,Dallas,0
38768,2024-03-10 20:42:35.673100,4207.06,470,refund,Philadelphia,0
83907,2023-12-11 14:57:35.953555,4868.1,796,purchase,Chicago,0
82667,2024-01-03 13:20:35.948598,2590.33,582,purchase,Houston,0
38228,2024-08-24 04:46:35.669475,2322.28,243,refund,Philadelphia,0
95746,2023-12-07 05:12:36.009332,259.54,782,refund,Chicago,0
43808,2024-09-25 05:31:35.710760,4361.32,813,purchase,Chicago,0
44492,2023-12-11 20:36:35.714893,3705.38,543,refund,Houston,0
28722,2024-04-17 05:00:35.604408,2859.71,347,purchase,San Antonio,0
48464,2024-04-15 03:38:35.739932,3690.58,777,refund,San Diego,0
86423,2024-05-30 00:30:35.962901,4100.05,551,refund,Dallas,0
91065,2024-08-21 09:43:35.989432,3746.83,414,purchase,Phoenix,0
42353,2024-06-15 18:31:35.701541,87.25,804,refund,Phoenix,1
22167,2024-02-26 11:11:35.567388,785.34,216,purchase,San Antonio,0
61731,2024-01-14 00:05:35.837550,1870.15,147,purchase,San Diego,0
58961,2024-01-04 03:35:35.824049,4239.99,525,purchase,Dallas,0
8763,2024-04-07 01:55:35.510395,3030.45,650,refund,Houston,1
13620,2024-06-11 11:24:35.530663,2097.6,522,refund,Chicago,0
64982,2024-07-31 16:59:35.850329,3115.31,813,purchase,Philadelphia,0
69493,2024-06-07 01:45:35.884982,1582.93,799,refund,Phoenix,0
29741,2024-08-20 13:04:35.608441,3085.59,717,purchase,Houston,0
95637,2024-07-05 04:36:36.008924,4162.86,247,refund,New York,0
60641,2024-03-26 13:33:35.831075,3148.96,15,purchase,Los Angeles,0
74107,2024-05-15 14:07:35.910001,4751.79,202,purchase,Houston,0
10130,2024-03-15 21:20:35.516281,152.52,886,purchase,San Jose,0
22037,2024-10-14 00:46:35.566940,3221.07,874,purchase,Houston,0
48018,2023-12-14 20:12:35.737348,3523.29,263,purchase,Houston,0
42565,2024-03-11 12:41:35.702866,2325.77,605,refund,Chicago,0
68777,2024-02-23 15:09:35.870964,98.31,254,purchase,Houston,0
67218,2024-07-07 09:56:35.860767,4009.57,393,refund,San Antonio,0
78224,2024-10-13 00:33:35.930082,4387.12,484,refund,San Antonio,0
87706,2024-04-25 07:06:35.967691,3319.77,388,refund,Houston,0
2520,2024-06-03 14:03:35.482916,620.75,606,refund,New York,0
8545,2024-03-13 01:45:35.509479,4819.33,801,purchase,San Jose,0
15135,2024-06-30 17:08:35.536897,4240.92,3,purchase,Dallas,0
32784,2024-05-23 12:26:35.625781,4958.17,839,refund,Houston,0
36288,2024-07-19 07:45:35.656955,4308.97,883,refund,New York,0
84216,2024-04-29 23:32:35.954710,4713.0,768,purchase,Chicago,0
20657,2024-03-03 01:40:35.561238,4353.92,920,refund,San Diego,1
34366,2024-06-08 07:45:35.636167,4863.22,918,purchase,New York,0
60117,2024-07-23 02:55:35.828669,4511.08,90,refund,Los Angeles,0
84731,2024-07-04 01:09:35.956549,2331.59,699,purchase,San Diego,0
30364,2023-12-25 12:47:35.610772,585.23,802,purchase,San Diego,0
16509,2024-01-15 10:38:35.543430,3782.6,972,refund,Phoenix,0
37891,2024-02-12 02:29:35.667225,834.46,1000,refund,San Jose,0
18709,2024-05-05 20:00:35.552662,462.51,490,refund,San Jose,0
48632,2024-05-07 02:32:35.741024,3419.21,906,refund,Phoenix,0
65459,2024-05-29 03:34:35.852499,382.51,658,purchase,New York,1
1338,2023-11-12 00:19:35.469511,4599.9,231,refund,Chicago,0
9395,2024-09-01 08:16:35.513044,3575.14,914,purchase,Philadelphia,1
46691,2024-01-12 15:30:35.728620,193.07,161,refund,Chicago,0
46926,2023-11-23 00:40:35.730201,787.61,928,purchase,Los Angeles,0
73985,2024-02-22 09:00:35.909327,3448.31,850,refund,New York,0
87895,2024-08-06 11:03:35.968475,3595.04,363,purchase,Dallas,0
43118,2024-02-10 20:38:35.706330,2333.32,759,purchase,Philadelphia,0
32665,2024-08-09 15:56:35.625065,2188.78,677,purchase,Phoenix,0
54961,2023-12-12 06:07:35.798420,2226.83,102,purchase,San Diego,0
59217,2024-05-30 00:07:35.824906,341.44,302,refund,San Jose,0
80668,2024-04-30 07:29:35.941325,4897.57,846,refund,Los Angeles,0
89868,2024-02-17 00:36:35.985072,436.69,789,purchase,San Diego,0
95428,2023-12-12 09:29:36.008015,4458.96,950,refund,Los Angeles,0
19048,2024-02-29 09:31:35.554426,3726.78,507,refund,Chicago,0
41304,2023-11-14 06:03:35.695384,1646.47,525,purchase,Dallas,0
37984,2024-09-27 18:06:35.667843,466.12,197,purchase,Chicago,0
28526,2024-10-14 04:45:35.603635,4931.77,251,purchase,San Jose,0
54716,2024-04-27 19:00:35.796816,1968.89,744,refund,San Diego,0
62548,2024-07-01 21:27:35.840376,3227.96,761,purchase,Houston,0
62059,2024-05-05 12:01:35.838695,3292.92,369,refund,San Diego,0
66480,2023-12-13 06:30:35.857618,3370.12,805,refund,Los Angeles,0
38972,2023-11-14 01:10:35.682428,740.44,832,purchase,San Diego,0
47223,2024-02-15 08:06:35.732187,3777.02,504,refund,Dallas,0
39827,2023-12-17 23:03:35.687293,403.79,316,refund,San Jose,0
79373,2024-04-23 14:26:35.935845,582.21,691,purchase,San Antonio,0
64119,2024-08-16 04:00:35.846905,2359.61,632,purchase,Chicago,0
95386,2024-09-17 15:49:36.007871,3647.25,343,refund,Chicago,0
73464,2024-03-16 21:50:35.906624,1931.58,696,purchase,San Antonio,0
79639,2023-12-12 12:11:35.936880,509.74,560,refund,Phoenix,0
90524,2023-10-22 05:38:35.987430,759.1,911,purchase,San Diego,0
70279,2024-06-23 06:25:35.889276,1319.05,113,purchase,Los Angeles,0
10088,2024-02-20 14:46:35.516096,2364.65,473,refund,Chicago,0
1469,2024-04-20 20:02:35.470249,1736.39,176,purchase,San Jose,0
49050,2024-01-13 13:06:35.743889,400.98,851,refund,San Diego,0
42743,2024-07-31 07:16:35.703909,3085.9,209,purchase,New York,0
36440,2024-01-03 01:12:35.657928,1202.15,490,refund,San Antonio,0
24202,2024-05-31 04:10:35.584824,2941.13,540,purchase,Dallas,0
44853,2024-09-06 22:04:35.717231,1612.23,164,refund,San Diego,0
66719,2024-03-30 23:42:35.858796,746.71,410,refund,Dallas,0
68616,2024-04-05 13:18:35.869931,1274.7,889,refund,Chicago,0
34182,2024-07-21 13:49:35.635040,1979.95,134,refund,San Antonio,0
23993,2024-07-06 15:36:35.584078,1191.08,611,purchase,San Diego,0
40967,2024-03-29 02:14:35.693505,1258.39,961,purchase,San Diego,1
35975,2023-11-18 10:29:35.654895,123.36,92,refund,Dallas,0
7567,2024-03-28 22:42:35.505497,4679.38,475,refund,Dallas,0
80774,2024-09-03 07:58:35.941850,466.97,296,purchase,Philadelphia,0
86319,2023-11-10 23:54:35.962513,537.06,737,refund,San Antonio,0
32584,2024-01-18 23:56:35.624578,4904.93,998,purchase,San Diego,0
8480,2023-12-09 16:04:35.509236,4800.64,962,refund,New York,0
96887,2024-03-23 17:15:36.014269,3408.76,292,purchase,San Jose,0
7291,2024-08-24 08:39:35.504191,1207.2,352,refund,Dallas,0
43660,2024-08-25 05:31:35.709799,943.87,552,refund,Houston,0
65103,2024-02-04 16:12:35.850850,4659.79,846,purchase,Philadelphia,0
35888,2023-12-11 00:41:35.654312,4337.74,105,refund,Dallas,1
78595,2024-04-05 03:22:35.931850,1317.02,651,refund,Houston,0
72813,2023-12-06 17:15:35.903265,4358.8,756,purchase,San Antonio,0
80289,2024-02-02 05:52:35.939894,899.86,798,refund,New York,0
84838,2024-03-08 02:17:35.956944,3813.94,925,purchase,Dallas,0
87407,2023-11-08 14:16:35.966455,2986.36,401,refund,New York,0
78727,2024-09-15 21:11:35.932357,1255.03,958,purchase,San Antonio,0
34852,2024-09-29 20:37:35.646088,2769.63,146,refund,Houston,0
37361,2024-05-19 20:21:35.663608,1550.84,374,refund,Chicago,0
15767,2024-06-07 07:55:35.540114,1550.06,56,refund,San Antonio,0
27419,2024-01-17 04:50:35.599161,869.05,255,refund,Chicago,0
71399,2024-01-29 03:40:35.895389,753.25,990,refund,New York,0
28739,2024-01-04 16:59:35.604475,2216.91,843,refund,Los Angeles,0
40606,2024-04-25 13:31:35.691563,1590.86,24,refund,Dallas,0
11102,2024-08-18 02:08:35.520311,4680.43,997,refund,New York,0
15375,2024-04-24 22:26:35.538270,4339.3,953,refund,San Antonio,0
75933,2024-06-20 13:19:35.918899,458.76,149,purchase,Houston,0
72268,2024-03-16 03:23:35.900138,923.81,683,purchase,New York,0
18276,2024-08-23 23:24:35.550877,122.45,738,refund,Phoenix,0
19209,2024-01-27 12:04:35.555275,3778.97,932,refund,Chicago,0
14068,2023-10-29 13:19:35.532495,3153.82,397,purchase,Philadelphia,0
28278,2023-11-12 02:05:35.602582,3307.09,660,purchase,Chicago,0
31385,2024-02-06 06:46:35.616979,2345.74,709,refund,San Jose,0
83444,2024-03-22 08:29:35.951865,174.63,583,purchase,Chicago,1
6633,2023-11-22 00:54:35.501422,2583.84,863,refund,Phoenix,0
50828,2024-02-14 15:08:35.754990,3802.6,650,purchase,Chicago,0
14428,2024-09-27 08:38:35.533922,3636.8,683,purchase,Dallas,0
77603,2023-12-07 09:29:35.926679,1988.75,586,purchase,San Antonio,0
73730,2024-08-07 00:50:35.907863,2793.72,190,refund,Philadelphia,0
91442,2024-08-24 17:01:35.990788,2003.67,483,refund,Dallas,0
1569,2024-09-25 12:24:35.470600,4338.56,762,purchase,Phoenix,0
81576,2024-09-16 22:55:35.944809,2793.43,918,purchase,Houston,0
96415,2024-03-06 23:55:36.012211,697.88,854,purchase,Los Angeles,0
25510,2024-04-27 22:54:35.590495,3458.01,103,purchase,Dallas,0
23340,2024-09-04 14:03:35.573290,1617.42,857,purchase,Phoenix,0
31001,2024-07-13 06:13:35.614209,4163.38,762,refund,Dallas,0
85744,2024-06-30 08:49:35.960315,3042.22,847,purchase,Dallas,1
24617,2024-08-25 11:52:35.586602,4308.56,353,purchase,Los Angeles,0
26040,2024-03-27 10:08:35.593592,209.47,64,refund,New York,0
56201,2024-06-24 09:15:35.806940,1342.03,270,refund,San Antonio,0
588,2024-09-29 11:08:35.465770,4038.95,525,purchase,San Antonio,0
28631,2024-09-21 15:19:35.604043,781.01,777,purchase,Los Angeles,0
26696,2023-11-05 01:07:35.596362,3104.76,989,purchase,Phoenix,0
43926,2023-11-05 00:17:35.711533,165.33,618,refund,Los Angeles,0
32976,2023-12-12 17:39:35.626975,3679.51,612,purchase,Houston,0
83557,2023-12-21 06:55:35.952260,3229.45,264,purchase,Dallas,0
12912,2024-09-28 14:07:35.527879,4323.24,709,refund,San Diego,0
59293,2023-11-27 20:31:35.825161,2001.3,340,refund,San Jose,0
93458,2024-01-14 02:17:35.999526,3209.83,995,purchase,Philadelphia,0
10045,2023-11-23 05:47:35.515911,1370.76,569,purchase,New York,0
40573,2024-07-19 07:17:35.691380,1660.13,362,purchase,Phoenix,0
33154,2023-12-09 16:17:35.628158,1094.43,698,refund,Houston,0
58766,2024-01-18 21:13:35.823398,3584.91,408,purchase,Dallas,0
63902,2024-08-13 00:52:35.846162,4315.12,761,refund,San Jose,0
20721,2024-01-12 22:48:35.561466,4345.38,123,refund,Los Angeles,1
77713,2024-08-05 17:17:35.927332,3796.91,805,purchase,New York,0
6889,2024-04-05 21:22:35.502560,2355.58,938,purchase,Philadelphia,0
97013,2023-12-27 20:50:36.014800,1075.44,441,refund,Dallas,0
23425,2023-11-24 10:27:35.581662,649.44,188,refund,Phoenix,0
12240,2024-10-06 06:52:35.525098,146.44,166,purchase,Dallas,0
2198,2024-02-28 18:19:35.473132,4931.96,757,refund,New York,0
15436,2024-09-20 08:39:35.538490,4729.92,232,purchase,Philadelphia,0
74706,2024-07-04 06:14:35.912973,2847.37,232,purchase,Houston,0
72834,2024-09-08 20:15:35.903377,3102.75,722,purchase,New York,0
62989,2024-02-02 20:46:35.842355,4535.52,649,refund,Philadelphia,0
69412,2024-06-21 20:58:35.884543,3341.01,31,refund,Philadelphia,1
46784,2024-06-26 14:35:35.729247,3479.21,251,purchase,New York,0
47877,2023-11-04 15:58:35.736537,3570.58,31,refund,Phoenix,0
9264,2023-11-05 18:04:35.512476,2420.92,182,purchase,New York,0
79630,2024-09-21 16:10:35.936840,2834.57,596,refund,Dallas,1
16149,2024-02-03 07:49:35.541523,861.14,359,refund,Phoenix,0
4289,2024-10-14 18:49:35.491070,2240.11,728,refund,San Diego,0
84653,2024-06-08 14:00:35.956271,881.17,17,purchase,San Jose,0
82800,2024-01-18 22:38:35.949192,4822.61,234,refund,Chicago,0
60977,2024-07-13 18:46:35.833196,2690.03,327,refund,Los Angeles,0
42346,2024-01-01 11:54:35.701496,1695.91,743,refund,New York,0
20002,2024-06-23 08:44:35.558972,2309.25,362,refund,Houston,0
81929,2024-05-03 08:27:35.946052,1353.16,910,refund,Chicago,0
38012,2024-10-05 02:25:35.668033,1619.72,281,purchase,Los Angeles,0
34659,2024-01-09 03:52:35.644796,4412.58,850,purchase,San Jose,1
55710,2024-01-08 14:09:35.803817,1801.2,148,purchase,Philadelphia,0
72468,2024-10-10 10:36:35.901221,592.01,793,purchase,San Jose,0
49054,2024-09-27 07:04:35.743916,2510.25,239,purchase,Phoenix,0
19043,2024-05-23 00:02:35.554393,1381.01,841,purchase,San Jose,0
2283,2024-06-14 02:52:35.473438,3100.25,376,purchase,Los Angeles,0
75305,2024-03-03 19:10:35.916029,3115.77,909,refund,Dallas,0
76428,2024-01-13 12:06:35.920983,4422.5,66,refund,San Antonio,0
65740,2023-10-24 18:36:35.854038,734.29,735,purchase,Philadelphia,0
19004,2024-04-05 02:44:35.554138,4800.5,746,purchase,Chicago,0
35546,2024-10-08 14:56:35.650856,3938.74,600,refund,New York,0
